date,county,state,fips,cases,deaths,zip,mort,safe
2020-04-23,Texas,Oklahoma,40139,46,1,73948,0.021739130434782608,False
2020-04-23,Anderson,Texas,48001,14,0,75763,0.0,True
2020-04-23,Andrews,Texas,48003,19,0,79714,0.0,True
2020-04-23,Angelina,Texas,48005,31,0,75969,0.0,True
2020-04-23,Aransas,Texas,48007,2,0,78358,0.0,True
2020-04-23,Armstrong,Texas,48011,1,0,79019,0.0,True
2020-04-23,Atascosa,Texas,48013,14,1,78012,0.07142857142857142,False
2020-04-23,Austin,Texas,48015,12,0,77485,0.0,True
2020-04-23,Bandera,Texas,48019,4,0,78003,0.0,True
2020-04-23,Bastrop,Texas,48021,53,2,78662,0.03773584905660377,False
2020-04-23,Bee,Texas,48025,6,0,78391,0.0,True
2020-04-23,Bell,Texas,48027,153,3,76534,0.0196078431372549,False
2020-04-23,Bexar,Texas,48029,1178,43,78112,0.0365025466893039,False
2020-04-23,Blanco,Texas,48031,6,0,78635,0.0,True
2020-04-23,Bosque,Texas,48035,3,0,76652,0.0,True
2020-04-23,Bowie,Texas,48037,89,6,75569,0.06741573033707865,False
2020-04-23,Brazoria,Texas,48039,392,3,77430,0.007653061224489796,True
2020-04-23,Brazos,Texas,48041,177,16,77881,0.0903954802259887,False
2020-04-23,Brooks,Texas,48047,1,0,78355,0.0,True
2020-04-23,Brown,Texas,48049,13,1,76804,0.07692307692307693,False
2020-04-23,Burleson,Texas,48051,11,0,77852,0.0,True
2020-04-23,Burnet,Texas,48053,14,0,78669,0.0,True
2020-04-23,Caldwell,Texas,48055,10,0,78648,0.0,True
2020-04-23,Calhoun,Texas,48057,23,2,77982,0.08695652173913043,False
2020-04-23,Callahan,Texas,48059,1,0,79504,0.0,True
2020-04-23,Cameron,Texas,48061,333,12,78586,0.036036036036036036,False
2020-04-23,Camp,Texas,48063,6,0,75686,0.0,True
2020-04-23,Carson,Texas,48065,1,0,79039,0.0,True
2020-04-23,Cass,Texas,48067,13,2,75566,0.15384615384615385,False
2020-04-23,Castro,Texas,48069,13,1,79043,0.07692307692307693,False
2020-04-23,Chambers,Texas,48071,41,0,77665,0.0,True
2020-04-23,Cherokee,Texas,48073,8,1,75764,0.125,False
2020-04-23,Childress,Texas,48075,1,0,79222,0.0,True
2020-04-23,Clay,Texas,48077,3,0,76365,0.0,True
2020-04-23,Cochran,Texas,48079,1,0,79314,0.0,True
2020-04-23,Collin,Texas,48085,609,14,75066,0.022988505747126436,False
2020-04-23,Colorado,Texas,48089,10,0,77434,0.0,True
2020-04-23,Comal,Texas,48091,48,6,78131,0.125,False
2020-04-23,Comanche,Texas,48093,3,0,76444,0.0,True
2020-04-23,Concho,Texas,48095,1,0,76855,0.0,True
2020-04-23,Cooke,Texas,48097,4,0,76272,0.0,True
2020-04-23,Coryell,Texas,48099,86,1,76561,0.011627906976744186,False
2020-04-23,Crane,Texas,48103,2,0,79731,0.0,True
2020-04-23,Crosby,Texas,48107,1,1,79322,1.0,True
2020-04-23,Dallam,Texas,48111,3,1,79051,0.3333333333333333,True
2020-04-23,Dallas,Texas,48113,2763,72,75287,0.026058631921824105,False
2020-04-23,Dawson,Texas,48115,18,1,79713,0.05555555555555555,False
2020-04-23,DeWitt,Texas,48123,14,1,77967,0.07142857142857142,False
2020-04-23,Deaf Smith,Texas,48117,17,0,79045,0.0,True
2020-04-23,Delta,Texas,48119,1,0,75448,0.0,True
2020-04-23,Denton,Texas,48121,661,19,76206,0.028744326777609682,False
2020-04-23,Dickens,Texas,48125,1,0,79220,0.0,True
2020-04-23,Dimmit,Texas,48127,1,0,78827,0.0,True
2020-04-23,Donley,Texas,48129,24,0,79240,0.0,True
2020-04-23,Duval,Texas,48131,1,0,78357,0.0,True
2020-04-23,Eastland,Texas,48133,3,0,76445,0.0,True
2020-04-23,Ector,Texas,48135,64,4,79762,0.0625,False
2020-04-23,El Paso,Texas,48141,674,10,88555,0.01483679525222552,False
2020-04-23,Ellis,Texas,48139,111,4,76651,0.036036036036036036,False
2020-04-23,Erath,Texas,48143,12,1,76446,0.08333333333333333,False
2020-04-23,Falls,Texas,48145,1,0,76656,0.0,True
2020-04-23,Fannin,Texas,48147,13,0,75449,0.0,True
2020-04-23,Fayette,Texas,48149,15,0,78964,0.0,True
2020-04-23,Floyd,Texas,48153,3,0,79221,0.0,True
2020-04-23,Fort Bend,Texas,48157,889,20,77441,0.02249718785151856,False
2020-04-23,Franklin,Texas,48159,1,0,75480,0.0,True
2020-04-23,Freestone,Texas,48161,3,0,75840,0.0,True
2020-04-23,Frio,Texas,48163,1,0,78017,0.0,True
2020-04-23,Gaines,Texas,48165,2,0,79342,0.0,True
2020-04-23,Galveston,Texas,48167,507,21,77573,0.04142011834319527,False
2020-04-23,Gillespie,Texas,48171,2,0,78631,0.0,True
2020-04-23,Goliad,Texas,48175,6,0,77960,0.0,True
2020-04-23,Gonzales,Texas,48177,4,0,78632,0.0,True
2020-04-23,Gray,Texas,48179,27,0,79054,0.0,True
2020-04-23,Grayson,Texas,48181,19,0,76273,0.0,True
2020-04-23,Gregg,Texas,48183,55,0,75603,0.0,True
